Porto Franco (MA);17070;17256;17449;17854;18078;18300;19271;19503;21890;22239;22651;22956;23243;23511;23760;23675;23885
Porto Rico do Maranhão (MA);6312;6259;6203;6085;6020;5955;7110;7179;6004;5978;5943;5909;5877;5847;5819;5995;5975
Presidente Dutra (MA);40136;40361;40741;41539;41981;42420;41173;41303;45155;45564;46039;46369;46680;46970;47239;47567;47804
Presidente Juscelino (MA);10905;9957;10314;11064;11479;11891;12094;12382;11722;11897;12103;12255;12398;12532;12656;12629;12734
Presidente Médici (MA);5143;5124;5127;5134;5139;5143;6252;6363;6471;6564;6674;6755;6831;6902;6968;6959;7015
Presidente Sarney (MA);13896;14010;14146;14431;14588;14745;16095;16325;17430;17686;17988;18210;18420;18615;18797;18764;18918
Presidente Vargas (MA);10679;9563;9786;10252;10510;10767;10096;10191;10843;10964;11105;11206;11302;11391;11474;11124;11193
Primeira Cruz (MA);11172;11453;11655;12078;12312;12545;12366;12493;14158;14355;14588;14758;14918;15068;15207;15197;15315
Raposa (MA);17542;18300;18863;20044;20698;21347;25042;25837;27037;27723;28543;29167;29755;30304;30863;30337;30761
Riachão (MA);21037;21092;21143;21250;21309;21367;21626;21672;20150;20093;20011;19926;19846;19771;19701;20243;20195
Ribamar Fiquene (MA);6629;6682;6772;6962;7066;7170;7391;7477;7382;7444;7514;7563;7609;7652;7691;7755;7791
Rosário (MA);33894;34102;34305;34730;34966;35199;39103;39627;40030;40469;40983;41349;41694;42016;42314;42482;42740
Sambaíba (MA);5147;5160;5113;5014;4959;4905;5971;6038;5505;5522;5538;5546;5554;5561;5568;5663;5671
Santa Filomena do Maranhão (MA);4833;4943;5071;5340;5489;5637;5703;5804;7155;7246;7426;7503;7576;7645;7708;7719;7773
Santa Helena (MA);31393;31791;32223;33131;33633;34131;35070;35472;39744;40356;41081;40518;41009;41466;41891;41770;42130
Santa Inês (MA);68588;73870;74294;75188;75681;76173;84582;85701;78020;78733;82106;82680;83238;83759;88013;88590;89044
Santa Luzia (MA);74999;73177;74965;78716;80794;82854;71314;71455;74501;74943;75444;75762;71067;71329;71576;72440;72667
Santa Luzia do Paruá (MA);21528;19834;19730;19512;19391;19271;20194;20190;22843;23035;23256;24507;24663;24810;24946;25134;25254
Santa Quitéria do Maranhão (MA);29411;30316;28583;30509;31576;32633;29215;29551;29460;28914;24706;24879;25041;25192;25334;25519;25642
Santa Rita (MA);25361;23281;23603;24280;24654;25026;31940;32872;33117;33843;34710;35364;35980;36556;37090;37404;37855
Santana do Maranhão (MA);11707;12268;9506;10458;10985;11508;10890;11170;11937;12203;12521;12761;12987;13199;13395;13223;13386
Santo Amaro do Maranhão (MA);9656;9643;9658;9688;9705;9721;11509;11693;14143;14456;14828;15110;15375;15623;15853;15654;15846
Santo Antônio dos Lopes (MA);14143;14217;14200;14165;14145;14126;14637;14663;14291;14294;14289;14270;14253;14237;14222;14534;14528
São Benedito do Rio Preto (MA);16843;16733;16869;17153;17310;17466;17704;17818;17904;18004;18118;18189;18256;18319;18377;18608;18663
São Bento (MA);32277;32615;32984;33760;34189;34615;38645;39312;41421;42083;42867;43447;45044;45560;46039;44811;45211
São Bernardo (MA);23959;23669;24109;25034;25546;26053;26273;26615;26765;27044;27369;27599;27817;28020;28208;28343;28507
São Domingos do Azeitão (MA);6449;6693;6881;7275;7493;7709;7168;7252;7037;7088;7147;7187;7224;7259;7291;7363;7392
São Domingos do Maranhão (MA);33690;34182;34707;35811;36421;37028;33491;33506;33650;33692;33725;33716;33707;33699;33691;34368;34376
São Félix de Balsas (MA);5007;4913;4805;4580;4455;4331;4511;4442;4669;4636;4593;4554;4518;4484;4453;4609;4585
São Francisco do Brejão (MA);7288;7447;7625;8000;8207;8413;8702;8863;10507;10745;11027;11242;11444;11633;11808;11652;11798
São Francisco do Maranhão (MA);12815;12841;12835;12822;12815;12807;14632;14801;11908;11932;11955;11961;11966;11971;11976;12201;12210
São João Batista (MA);19321;19614;19937;20616;20992;21365;18617;18570;19997;20072;20152;20195;20235;20272;20307;20629;20665
São João do Carú (MA);13731;13948;14159;14600;14845;15087;12613;12511;15649;15631;15599;15558;15520;15483;15450;15828;15808
São João do Paraíso (MA);10596;10785;10979;11388;11614;11839;11611;11729;10849;10882;10917;10933;10949;10963;10977;11162;11177
São João do Soter (MA);15013;15381;15635;16167;16462;16755;17108;17326;17423;17602;17809;17956;18095;18225;18345;18438;18543
São João dos Patos (MA);23285;23433;23550;23794;23929;24064;24267;24357;24927;25056;25199;25287;25371;25448;25520;25860;25929
São José de Ribamar (MA);111884;115130;118725;126271;130448;134593;135821;139473;165418;167714;170423;172402;174267;176008;176418;176321;177687
São José dos Basílios (MA);7476;7507;7542;7615;7656;7696;7490;7489;7501;7506;7507;7501;7495;7489;7484;7642;7641
São Luís (MA);889129;906567;923526;959124;978824;998385;986825;997098;1027430;1039610;1053922;1064197;1073893;1082935;1091868;1094667;1101884
